id,title,all_artists,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,speechiness
5a6pdCHlWS2ekOOQ70QnAr,July,Noah Cyrus,2019-07-31,0.708,0.186,9,-8.953,0,0.868,0.0,0.0779,0.321,72.541,156107,4,0.0422
67e7sjTnaFwo3C4HKZveNd,Numb,Brennan Savage,2017-07-11,0.552,0.673,11,-10.4,1,0.0626,0.194,0.268,0.101,124.985,126252,4,0.0531
1QuzPovD4fnVy8KezHv7rI,I'm Sick of Trying,Vaboh,2018-05-16,0.428,0.479,5,-9.758,0,0.535,0.0,0.1,0.464,165.927,187952,3,0.213
2p4p9YGwmJIdf5IA9sSWhm,STFU,Spark Master Tape,2017-03-24,0.822,0.471,1,-7.303,0,0.186,0.0,0.215,0.512,135.07,230878,4,0.193
1BuQRPX4D2j83hqv8j3LEu,HYVÄSTIT,eetu,2019-11-22,0.645,0.23,9,-11.337,1,0.868,0.00019,0.103,0.196,105.709,184500,4,0.0342
4jQ9Nd33d2MWbQ5zJwBUTe,Valo pimeän,Pyhimys,2019-11-14,0.624,0.689,1,-6.007,1,0.0493,4.73e-06,0.184,0.424,92.001,196024,4,0.14
5PdEiev2BkKiZtZFcNKjfM,Hate Myself,NF,2019-07-26,0.533,0.84,9,-5.283,0,0.234,0.0,0.114,0.361,116.882,260253,4,0.167
6hSDQ1YAEWW53L1FI2mRN8,I Wanted To Die Alone,Donny,2017-10-09,0.731,0.0727,1,-19.808,0,0.655,0.604,0.111,0.254,179.98,222000,4,0.0531
3UWkbO4emEOu9YUeOGq3vU,weak when ur around,blackbear,2015-06-02,0.769,0.323,3,-12.887,0,0.678,0.0,0.116,0.574,94.977,169500,4,0.0524
52TjUfqxgK2k4vfcyHXnp2,DEAD TO ME,blackbear,2019-04-26,0.709,0.713,7,-5.464,0,0.0757,0.0,0.139,0.227,139.966,180576,4,0.0936
3hap5pAmHNW11yMtktjemg,slow down my thoughts,Zachary Knowles,2018-08-13,0.749,0.428,1,-8.053,0,0.672,3.59e-05,0.226,0.465,126.949,231496,4,0.0776
3JOVTQ5h8HGFnDdp4VT3MP,Mad World (Feat. Michael Andrews),Michael Andrews,2001-01-01,0.345,0.0581,3,-17.217,1,0.976,0.000366,0.103,0.304,174.117,189507,4,0.0374
6L9vUQRiVybGvtAatCdRhw,worthless,eli.,2019-02-22,0.675,0.53,9,-4.196,1,0.016,0.0,0.111,0.0832,124.991,270240,4,0.0385
60c0p6GGnuwdKcQnmuM2zC,I'll Always Remember You,Hannah Montana,2010-01-01,0.418,0.721,8,-2.736,1,0.0486,0.0,0.0984,0.233,144.063,233333,4,0.0383
1NekIhcxQF8H8JXOarAUTt,Orange Juice,Melanie Martinez,2019-09-06,0.708,0.665,1,-7.612,0,0.537,0.0,0.578,0.637,106.999,217241,4,0.0994
3jnbd5B8VdKIXXySIBciuF,enough,916frosty,2018-03-20,0.598,0.559,1,-7.22,0,0.637,0.0,0.137,0.254,145.822,248803,4,0.083
0GKlRlpkz2ojkp6Q92qQZ1,Mistakes Before I'm Gone,Vaboh,2018-10-04,0.747,0.487,5,-9.832,0,0.14,1.58e-06,0.134,0.224,144.991,132414,4,0.0456
4i4VRwhUepndyjzmNNSSDc,Last Night I Accepted Death W Open Arms,Darko,2018-10-12,0.643,0.413,0,-9.993,1,0.0714,0.181,0.262,0.0363,89.989,152028,4,0.0277
0Nc1rZEB2tZLgpxw5nkpEu,Moon,Kid Francescoli,2017-03-03,0.663,0.658,2,-10.001,1,0.295,0.867,0.102,0.0532,117.986,390639,4,0.0345
0zePbRMJ9sd7wsZRlbPQua,Hot Rod,Dayglow,2019-11-14,0.707,0.767,7,-7.072,1,0.0279,0.000295,0.169,0.832,139.985,204014,4,0.0323
66orPRle7aNvH8EtXroPr6,Summer Luv (feat. Crystal Fighters) - Chrome Sparks Remix,Chrome Sparks,2019-10-11,0.61,0.727,7,-6.976,1,0.00282,0.00721,0.34,0.259,103.992,193524,4,0.0604
08Kj0lvbsqAxzeUOBYZRL6,Good Nights (feat. Mascolo),Mascolo,2018-11-09,0.849,0.483,6,-7.114,0,0.443,0.000141,0.0786,0.282,101.015,165618,4,0.291
